pdb_id,file_path,chosen_chain,chain_length,file_type,hbond_proxy_count,salt_bridge_count,disulfide_count,sasa_total,uniprot_accession,organism_type,organism,xref_cazy,gh_family,pdb_tag,foldx_wt_total_energy,foldx_energy_per_residue
1UR1,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UR1.cif,A,346,cif,2580.0,97.0,0.0,5699.997237762178,O68541,bacterial,Cellvibrio mixtus,GH10;,GH10,1UR1_A_Repair,-85.5,-0.24710982658959538
1UR2,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UR2.cif,A,351,cif,2641.0,98.0,0.0,5811.88593976572,O68541,bacterial,Cellvibrio mixtus,GH10;,GH10,1UR2_A_Repair,-86.87,-0.24749287749287752
1US2,/home/ubuntu/xylanase-thesis/data/raw/pdb/1US2.cif,A,507,cif,3367.0,88.0,3.0,8962.03972236306,Q59675,bacterial,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),CBM15;GH10;,GH10,1US2_A_Repair,0.97,0.001913214990138067
1US3,/home/ubuntu/xylanase-thesis/data/raw/pdb/1US3.cif,A,482,cif,3240.0,85.0,3.0,9728.75977283325,Q59675,bacterial,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),CBM15;GH10;,GH10,1US3_A_Repair,-3.43,-0.0071161825726141084
1UXX,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UXX.cif,X,125,cif,596.0,12.0,0.0,3538.3811213129543,O52780,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM6;GH11;,GH11,1UXX_X_Repair,2.27,0.01816
1UY1,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UY1.cif,A,132,cif,727.0,6.0,0.0,2907.4113125900376,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1UY1_A_Repair,1.89,0.014318181818181817
1UY2,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UY2.cif,A,131,cif,719.0,5.0,0.0,2807.352855776634,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1UY2_A_Repair,0.96,0.00732824427480916
1UY3,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UY3.cif,A,132,cif,706.0,5.0,0.0,2990.583570660318,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1UY3_A_Repair,3.25,0.02462121212121212
1UY4,/home/ubuntu/xylanase-thesis/data/raw/pdb/1UY4.cif,A,132,cif,751.0,5.0,0.0,2878.348363553455,Q8GJ44,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),CBM6;GH11;,GH11,1UY4_A_Repair,4.42,0.033484848484848485
1V0K,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V0K.cif,A,302,cif,3012.0,65.0,2.0,1982.4346003367511,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1V0K_A_Repair,-54.34,-0.1799337748344371
1V0L,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V0L.cif,A,302,cif,2785.0,62.0,2.0,2174.9478041667385,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1V0L_A_Repair,-46.26,-0.15317880794701985
1V0M,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V0M.cif,A,303,cif,2693.0,65.0,1.0,2522.879617808409,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1V0M_A_Repair,-54.38,-0.17947194719471948
1V0N,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V0N.cif,A,302,cif,2667.0,62.0,1.0,2237.268545246536,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1V0N_A_Repair,-43.27,-0.14327814569536426
1V6U,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V6U.cif,A,436,cif,2386.0,76.0,5.0,10534.716128998314,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1V6U_A_Repair,29.82,0.06839449541284404
1V6V,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V6V.cif,A,436,cif,2668.0,76.0,5.0,8272.209209611678,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1V6V_A_Repair,11.91,0.02731651376146789
1V6W,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V6W.cif,A,436,cif,2730.0,72.0,5.0,7541.519092542228,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1V6W_A_Repair,18.14,0.041605504587155964
1V6X,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V6X.cif,A,436,cif,2561.0,77.0,5.0,8969.924805764309,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1V6X_A_Repair,16.31,0.037408256880733945
1V6Y,/home/ubuntu/xylanase-thesis/data/raw/pdb/1V6Y.cif,A,316,cif,1915.0,55.0,2.0,7218.026268506765,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1V6Y_A_Repair,-38.94,-0.12322784810126582
1VBR,/home/ubuntu/xylanase-thesis/data/raw/pdb/1VBR.cif,A,324,cif,1986.0,96.0,0.0,6329.971915596146,Q9WXS5,bacterial,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),GH10;,GH10,1VBR_A_Repair,-103.61,-0.31978395061728393
1VBU,/home/ubuntu/xylanase-thesis/data/raw/pdb/1VBU.cif,A,324,cif,2012.0,89.0,0.0,6696.659979857541,Q9WXS5,bacterial,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),GH10;,GH10,1VBU_A_Repair,-116.04,-0.35814814814814816
1W2P,/home/ubuntu/xylanase-thesis/data/raw/pdb/1W2P.cif,A,346,cif,2493.0,72.0,1.0,6100.584921445915,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1W2P_A_Repair,-9.5,-0.02745664739884393
1W2V,/home/ubuntu/xylanase-thesis/data/raw/pdb/1W2V.cif,A,346,cif,2244.0,70.0,1.0,7688.821234370547,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1W2V_A_Repair,0.23,0.0006647398843930636
1W32,/home/ubuntu/xylanase-thesis/data/raw/pdb/1W32.cif,A,346,cif,2676.0,70.0,1.0,5395.163953558196,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1W32_A_Repair,-22.86,-0.0660693641618497
1W3H,/home/ubuntu/xylanase-thesis/data/raw/pdb/1W3H.cif,A,348,cif,2117.0,73.0,1.0,7798.142714822167,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1W3H_A_Repair,15.7,0.04511494252873563
1WB4,/home/ubuntu/xylanase-thesis/data/raw/pdb/1WB4.cif,A,283,cif,1893.0,49.0,0.0,4242.015188998425,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1WB4_A_Repair,-63.66,-0.22494699646643107
1WB5,/home/ubuntu/xylanase-thesis/data/raw/pdb/1WB5.cif,A,283,cif,1778.0,50.0,0.0,4844.9157344410905,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1WB5_A_Repair,-60.43,-0.21353356890459363
1WB6,/home/ubuntu/xylanase-thesis/data/raw/pdb/1WB6.cif,A,283,cif,1817.0,49.0,0.0,4440.089929170324,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,1WB6_A_Repair,-60.28,-0.21300353356890459
1XAS,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XAS.cif,,0,cif,,,,,P26514,bacterial,Streptomyces lividans,CBM13;GH10;,GH10,1XAS__Repair,,
1XBD,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XBD.cif,A,87,cif,214.0,3.0,1.0,4853.747103248706,P54865,bacterial,Cellulomonas fimi,CBM2;GH11;,GH11,1XBD_A_Repair,87.29,1.0033333333333334
1XNB,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XNB.cif,A,185,cif,934.0,10.0,0.0,4478.973270647356,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1XNB_A_Repair,-8.58,-0.04637837837837838
1XNC,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XNC.cif,A,185,cif,902.0,10.0,1.0,4593.373537747367,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,1XNC_A_Repair,-9.11,-0.04924324324324324
1XND,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XND.cif,A,190,cif,779.0,22.0,0.0,6491.565903821504,P48793,fungal,Trichoderma harzianum (Hypocrea lixii),GH11;,GH11,1XND_A_Repair,33.9,0.17842105263157895
1XNK,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XNK.cif,A,190,cif,1175.0,18.0,0.0,3331.5592949811503,Q8J1V6,fungal,Thermochaetoides thermophila,GH11;,GH11,1XNK_A_Repair,-7.35,-0.038684210526315786
1XXN,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XXN.cif,A,185,cif,997.0,12.0,0.0,4274.847797891904,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,1XXN_A_Repair,-5.88,-0.031783783783783784
1XYF,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XYF.cif,A,427,cif,2221.0,76.0,5.0,11215.03363530085,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,1XYF_A_Repair,0.39,0.0009133489461358314
1XYN,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XYN.cif,A,178,cif,686.0,10.0,0.0,5478.627751426729,P36218,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1XYN_A_Repair,31.07,0.1745505617977528
1XYO,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XYO.cif,A,189,cif,891.0,19.0,0.0,4658.243216309838,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1XYO_A_Repair,-0.92,-0.004867724867724868
1XYP,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XYP.cif,A,189,cif,928.0,19.0,0.0,4216.918839979008,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,1XYP_A_Repair,3.5,0.018518518518518517
1XYS,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XYS.cif,,0,cif,,,,,P14768,bacterial,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),CBM10;CBM2;GH10;,GH10,1XYS__Repair,,
1XYZ,/home/ubuntu/xylanase-thesis/data/raw/pdb/1XYZ.cif,A,320,cif,1806.0,55.0,0.0,7710.790291266132,P10478,bacterial,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum),CBM6;GH10;,GH10,1XYZ_A_Repair,-83.0,-0.259375
1YNA,/home/ubuntu/xylanase-thesis/data/raw/pdb/1YNA.cif,A,193,cif,915.0,22.0,1.0,5113.730922765446,O43097,fungal,Thermomyces lanuginosus (Humicola lanuginosa),GH11;,GH11,1YNA_A_Repair,-18.15,-0.09404145077720207
2B42,/home/ubuntu/xylanase-thesis/data/raw/pdb/2B42.cif,A,364,cif,1229.0,37.0,5.0,15344.025869117717,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2B42_A_Repair,-15.7,-0.04313186813186813
2B45,/home/ubuntu/xylanase-thesis/data/raw/pdb/2B45.cif,X,185,cif,899.0,9.0,0.0,4327.947763471486,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2B45_X_Repair,-11.41,-0.061675675675675674
2B46,/home/ubuntu/xylanase-thesis/data/raw/pdb/2B46.cif,X,185,cif,765.0,9.0,0.0,6107.620317131703,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2B46_X_Repair,-2.67,-0.014432432432432432
2BNJ,/home/ubuntu/xylanase-thesis/data/raw/pdb/2BNJ.cif,A,301,cif,2535.0,46.0,1.0,2257.6709150185206,P23360,fungal,Thermoascus aurantiacus,GH10;,GH10,2BNJ_A_Repair,-79.91,-0.2654817275747508
2BVV,/home/ubuntu/xylanase-thesis/data/raw/pdb/2BVV.cif,A,185,cif,900.0,10.0,0.0,4400.017230980121,P09850,bacterial,Niallia circulans (Bacillus circulans),GH11;,GH11,2BVV_A_Repair,-2.84,-0.01535135135135135
2C1F,/home/ubuntu/xylanase-thesis/data/raw/pdb/2C1F.cif,A,219,cif,1015.0,17.0,0.0,6016.21327869872,P29127,fungal,Neocallimastix patriciarum (Rumen fungus),GH11;,GH11,2C1F_A_Repair,-3.04,-0.013881278538812785
2C71,/home/ubuntu/xylanase-thesis/data/raw/pdb/2C71.cif,A,205,cif,1629.0,35.0,0.0,2704.583267335036,O87119,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM6;GH11;,GH11,2C71_A_Repair,-56.78,-0.2769756097560976
2C79,/home/ubuntu/xylanase-thesis/data/raw/pdb/2C79.cif,A,205,cif,1501.0,35.0,0.0,3072.599672368596,O87119,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM6;GH11;,GH11,2C79_A_Repair,-63.92,-0.3118048780487805
2CCL,/home/ubuntu/xylanase-thesis/data/raw/pdb/2CCL.cif,A,149,cif,726.0,16.0,0.0,4084.12216028181,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,2CCL_A_Repair,-13.25,-0.08892617449664429
2CNC,/home/ubuntu/xylanase-thesis/data/raw/pdb/2CNC.cif,A,350,cif,1929.0,98.0,0.0,8730.809694033062,O68541,bacterial,Cellvibrio mixtus,GH10;,GH10,2CNC_A_Repair,13.84,0.039542857142857143
2D1Z,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D1Z.cif,A,427,cif,2637.0,73.0,5.0,7266.159803357626,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2D1Z_A_Repair,-6.76,-0.015831381733021076
2D20,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D20.cif,A,427,cif,2490.0,73.0,5.0,8322.453103044407,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2D20_A_Repair,-12.18,-0.028524590163934424
2D22,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D22.cif,A,427,cif,2584.0,68.0,5.0,7786.02524009889,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2D22_A_Repair,-14.2,-0.03325526932084309
2D23,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D23.cif,A,427,cif,2483.0,79.0,5.0,9131.2834133017,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2D23_A_Repair,7.44,0.017423887587822016
2D24,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D24.cif,A,427,cif,2430.0,75.0,5.0,8811.529159922244,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2D24_A_Repair,-15.79,-0.03697892271662763
2D97,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D97.cif,A,185,cif,816.0,19.0,0.0,5113.191159448448,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,2D97_A_Repair,4.88,0.026378378378378378
2D98,/home/ubuntu/xylanase-thesis/data/raw/pdb/2D98.cif,A,183,cif,734.0,18.0,0.0,6047.796614423943,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,2D98_A_Repair,-0.64,-0.0034972677595628415
2DCJ,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DCJ.cif,A,327,cif,2091.0,38.0,0.0,5128.956814923887,Q9RC94,bacterial,Bacillus sp. 41M-1,CBM36;GH11;,GH11,2DCJ_A_Repair,13.72,0.04195718654434251
2DCK,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DCK.cif,A,320,cif,1720.0,31.0,0.0,6795.710324721146,Q9RC94,bacterial,Bacillus sp. 41M-1,CBM36;GH11;,GH11,2DCK_A_Repair,3.5,0.0109375
2DCY,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DCY.cif,A,185,cif,792.0,10.0,0.0,6176.931880980715,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2DCY_A_Repair,-7.16,-0.0387027027027027
2DCZ,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DCZ.cif,A,185,cif,792.0,12.0,0.0,5976.70551426586,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2DCZ_A_Repair,-11.85,-0.06405405405405405
2DEP,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DEP.cif,A,340,cif,2166.0,95.0,0.0,7625.931852454073,P40942,bacterial,Thermoclostridium stercorarium (Clostridium stercorarium),GH10;,GH10,2DEP_A_Repair,-67.07,-0.19726470588235293
2DFB,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DFB.cif,A,189,cif,1223.0,19.0,0.0,2481.3640489442664,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,2DFB_A_Repair,-16.42,-0.08687830687830689
2DFC,/home/ubuntu/xylanase-thesis/data/raw/pdb/2DFC.cif,A,189,cif,1055.0,19.0,0.0,3705.172975114647,P36217,fungal,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) (Trichoderma reesei),GH11;,GH11,2DFC_A_Repair,-12.17,-0.06439153439153439
2EXO,/home/ubuntu/xylanase-thesis/data/raw/pdb/2EXO.cif,A,312,cif,1466.0,68.0,2.0,10736.742515206346,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,2EXO_A_Repair,-18.58,-0.059551282051282045
2F6B,/home/ubuntu/xylanase-thesis/data/raw/pdb/2F6B.cif,A,206,cif,734.0,29.0,0.0,8165.738774758674,Q7SIE3,bacterial,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),,unknown,2F6B_A_Repair,3.82,0.01854368932038835
2F8Q,/home/ubuntu/xylanase-thesis/data/raw/pdb/2F8Q.cif,A,353,cif,2167.0,95.0,0.0,6173.7265768281095,O30700,bacterial,Bacillus sp. NG-27,GH10;,GH10,2F8Q_A_Repair,-25.94,-0.0734844192634561
2FGL,/home/ubuntu/xylanase-thesis/data/raw/pdb/2FGL.cif,A,354,cif,1984.0,99.0,0.0,7997.071641470196,O30700,bacterial,Bacillus sp. NG-27,GH10;,GH10,2FGL_A_Repair,-20.3,-0.05734463276836158
2G3I,/home/ubuntu/xylanase-thesis/data/raw/pdb/2G3I.cif,A,303,cif,1805.0,56.0,1.0,5746.345795065491,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2G3I_A_Repair,-29.74,-0.09815181518151815
2G3J,/home/ubuntu/xylanase-thesis/data/raw/pdb/2G3J.cif,A,301,cif,1442.0,57.0,1.0,9271.675069168135,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2G3J_A_Repair,-0.01,-3.322259136212625e-05
2G4F,/home/ubuntu/xylanase-thesis/data/raw/pdb/2G4F.cif,A,302,cif,1422.0,64.0,1.0,9757.57292755478,Q7SI98,bacterial,Streptomyces olivaceoviridis (Streptomyces corchorusii),CBM13;GH10;,GH10,2G4F_A_Repair,-2.14,-0.007086092715231788
2HIS,/home/ubuntu/xylanase-thesis/data/raw/pdb/2HIS.cif,A,312,cif,1450.0,59.0,2.0,9130.042471637156,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,2HIS_A_Repair,1.39,0.004455128205128204
2JIC,/home/ubuntu/xylanase-thesis/data/raw/pdb/2JIC.cif,A,189,cif,897.0,17.0,0.0,4876.917605705995,F8W669,fungal,Trichoderma longibrachiatum,,unknown,2JIC_A_Repair,8.16,0.04317460317460318
2NQY,/home/ubuntu/xylanase-thesis/data/raw/pdb/2NQY.cif,A,206,cif,842.0,32.0,0.0,6791.752169305038,Q7SIE3,bacterial,Salipaludibacillus agaradhaerens (Bacillus agaradhaerens),,unknown,2NQY_A_Repair,-7.64,-0.0370873786407767
2Q8X,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Q8X.cif,A,330,cif,2182.0,108.0,0.0,6451.3870574987295,Q09LY9,bacterial,Geobacillus stearothermophilus (Bacillus stearothermophilus),GH10;,GH10,2Q8X_A_Repair,-60.32,-0.18278787878787878
2QZ2,/home/ubuntu/xylanase-thesis/data/raw/pdb/2QZ2.cif,A,183,cif,633.0,9.0,1.0,6821.598669248536,P55329,fungal,Aspergillus niger,GH11;,GH11,2QZ2_A_Repair,11.88,0.06491803278688525
2QZ3,/home/ubuntu/xylanase-thesis/data/raw/pdb/2QZ3.cif,A,184,cif,919.0,10.0,0.0,4418.299214206491,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2QZ3_A_Repair,-17.48,-0.095
2UWF,/home/ubuntu/xylanase-thesis/data/raw/pdb/2UWF.cif,A,356,cif,1930.0,99.0,0.0,11272.393738748777,P07528,bacterial,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans),GH10;,GH10,2UWF_A_Repair,-46.53,-0.13070224719101123
2VG9,/home/ubuntu/xylanase-thesis/data/raw/pdb/2VG9.cif,A,217,cif,1163.0,18.0,0.0,3921.121982618328,P29127,fungal,Neocallimastix patriciarum (Rumen fungus),GH11;,GH11,2VG9_A_Repair,-9.65,-0.04447004608294931
2W5F,/home/ubuntu/xylanase-thesis/data/raw/pdb/2W5F.cif,B,513,cif,3838.0,76.0,0.0,5458.664789936015,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,2W5F_B_Repair,-57.08,-0.11126705653021442
2WYS,/home/ubuntu/xylanase-thesis/data/raw/pdb/2WYS.cif,B,507,cif,2501.0,75.0,0.0,14898.50073101969,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,2WYS_B_Repair,144.29,0.2845956607495069
2WZE,/home/ubuntu/xylanase-thesis/data/raw/pdb/2WZE.cif,B,507,cif,3197.0,73.0,0.0,9607.91563424503,P51584,bacterial,Acetivibrio thermocellus (Hungateiclostridium thermocellum) (Clostridium thermocellum),CBM22;GH10;,GH10,2WZE_B_Repair,35.29,0.06960552268244576
2XBD,/home/ubuntu/xylanase-thesis/data/raw/pdb/2XBD.cif,A,87,cif,206.0,3.0,1.0,5106.526446563044,P54865,bacterial,Cellulomonas fimi,CBM2;GH11;,GH11,2XBD_A_Repair,75.97,0.8732183908045977
2XYL,/home/ubuntu/xylanase-thesis/data/raw/pdb/2XYL.cif,A,312,cif,1536.0,66.0,2.0,9323.546257329936,P07986,bacterial,Cellulomonas fimi,CBM2;GH10;,GH10,2XYL_A_Repair,-16.1,-0.05160256410256411
2Y64,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Y64.cif,A,167,cif,946.0,11.0,0.0,3624.6015662040486,Q7WTN6,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,2Y64_A_Repair,-12.98,-0.0777245508982036
2Y6G,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Y6G.cif,A,167,cif,928.0,12.0,0.0,3471.358584703198,Q7WTN6,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,2Y6G_A_Repair,-11.95,-0.0715568862275449
2Y6H,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Y6H.cif,A,167,cif,1000.0,12.0,0.0,2984.118499704867,Q7WTN6,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,2Y6H_A_Repair,-13.38,-0.08011976047904192
2Y6J,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Y6J.cif,A,167,cif,920.0,9.0,0.0,3691.836348813481,Q7WTN6,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,2Y6J_A_Repair,-15.71,-0.09407185628742515
2Y6K,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Y6K.cif,A,165,cif,988.0,14.0,0.0,3146.620797764606,Q7WTN6,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,2Y6K_A_Repair,-18.71,-0.1133939393939394
2Y6L,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Y6L.cif,A,167,cif,996.0,12.0,0.0,3391.513474315001,Q7WTN6,bacterial,Rhodothermus marinus (Rhodothermus obamensis),CBM4;GH10;,GH10,2Y6L_A_Repair,-22.39,-0.13407185628742516
2Z79,/home/ubuntu/xylanase-thesis/data/raw/pdb/2Z79.cif,A,184,cif,1002.0,10.0,0.0,3739.729476428114,P18429,bacterial,Bacillus subtilis (strain 168),GH11;,GH11,2Z79_A_Repair,-13.9,-0.07554347826086957
3AKP,/home/ubuntu/xylanase-thesis/data/raw/pdb/3AKP.cif,A,189,cif,1158.0,19.0,0.0,3375.3503445370284,F8W669,fungal,Trichoderma longibrachiatum,,unknown,3AKP_A_Repair,-2.5,-0.013227513227513227
3AKQ,/home/ubuntu/xylanase-thesis/data/raw/pdb/3AKQ.cif,A,189,cif,1388.0,17.0,0.0,2375.052126290189,F8W669,fungal,Trichoderma longibrachiatum,,unknown,3AKQ_A_Repair,-1.63,-0.008624338624338623
3AKR,/home/ubuntu/xylanase-thesis/data/raw/pdb/3AKR.cif,A,189,cif,1178.0,19.0,0.0,3029.147676058264,F8W669,fungal,Trichoderma longibrachiatum,,unknown,3AKR_A_Repair,20.55,0.10873015873015873
3AKS,/home/ubuntu/xylanase-thesis/data/raw/pdb/3AKS.cif,A,189,cif,1162.0,19.0,0.0,3139.2988134305883,F8W669,fungal,Trichoderma longibrachiatum,,unknown,3AKS_A_Repair,8.37,0.04428571428571428
3AKT,/home/ubuntu/xylanase-thesis/data/raw/pdb/3AKT.cif,A,189,cif,1100.0,19.0,0.0,3713.193875849491,F8W669,fungal,Trichoderma longibrachiatum,,unknown,3AKT_A_Repair,-5.51,-0.029153439153439153
3B5L,/home/ubuntu/xylanase-thesis/data/raw/pdb/3B5L.cif,B,198,cif,1014.0,30.0,0.0,4702.012438079962,Q8GMV7,bacterial,Thermopolyspora flexuosa,CBM2;GH11;,GH11,3B5L_B_Repair,-6.77,-0.03419191919191919
